id,from_asset,to_asset,milestone_year,rep_period,capacity_coefficient,conversion_coefficient,time_block_start,time_block_end,solution
1,ens,e_demand,2030,1,1.0,1.0,1,1,0.0
2,ens,e_demand,2030,1,1.0,1.0,2,2,0.0
3,ens,e_demand,2030,1,1.0,1.0,3,3,0.0
4,ens,e_demand,2030,1,1.0,1.0,4,4,0.0
5,ens,e_demand,2030,1,1.0,1.0,5,5,0.0
6,ens,e_demand,2030,1,1.0,1.0,6,6,0.0
7,ens,e_demand,2030,1,1.0,1.0,7,7,0.0
8,ens,e_demand,2030,1,1.0,1.0,8,8,0.0
9,ens,e_demand,2030,1,1.0,1.0,9,9,0.0
10,ens,e_demand,2030,1,1.0,1.0,10,10,0.0
11,ens,e_demand,2030,1,1.0,1.0,11,11,0.0
12,ens,e_demand,2030,1,1.0,1.0,12,12,0.0
13,ens,e_demand,2030,1,1.0,1.0,13,13,0.0
14,ens,e_demand,2030,1,1.0,1.0,14,14,0.0
15,ens,e_demand,2030,1,1.0,1.0,15,15,0.0
16,ens,e_demand,2030,1,1.0,1.0,16,16,0.0
17,ens,e_demand,2030,1,1.0,1.0,17,17,0.0
18,ens,e_demand,2030,1,1.0,1.0,18,18,0.0
19,ens,e_demand,2030,1,1.0,1.0,19,19,0.0
20,ens,e_demand,2030,1,1.0,1.0,20,20,0.0
21,ens,e_demand,2030,1,1.0,1.0,21,21,0.0
22,ens,e_demand,2030,1,1.0,1.0,22,22,0.0
23,ens,e_demand,2030,1,1.0,1.0,23,23,0.0
24,ens,e_demand,2030,1,1.0,1.0,24,24,0.0
25,wind_offshore,electrolizer,2030,1,1.0,1.0,1,1,0.0
26,wind_offshore,electrolizer,2030,1,1.0,1.0,2,2,0.0
27,wind_offshore,electrolizer,2030,1,1.0,1.0,3,3,0.0
28,wind_offshore,electrolizer,2030,1,1.0,1.0,4,4,0.0
29,wind_offshore,electrolizer,2030,1,1.0,1.0,5,5,0.0
30,wind_offshore,electrolizer,2030,1,1.0,1.0,6,6,0.0
31,wind_offshore,electrolizer,2030,1,1.0,1.0,7,7,0.0
32,wind_offshore,electrolizer,2030,1,1.0,1.0,8,8,0.0
33,wind_offshore,electrolizer,2030,1,1.0,1.0,9,9,0.0
34,wind_offshore,electrolizer,2030,1,1.0,1.0,10,10,0.0
35,wind_offshore,electrolizer,2030,1,1.0,1.0,11,11,0.0
36,wind_offshore,electrolizer,2030,1,1.0,1.0,12,12,0.0
37,wind_offshore,electrolizer,2030,1,1.0,1.0,13,13,0.0
38,wind_offshore,electrolizer,2030,1,1.0,1.0,14,14,0.0
39,wind_offshore,electrolizer,2030,1,1.0,1.0,15,15,0.0
40,wind_offshore,electrolizer,2030,1,1.0,1.0,16,16,0.0
41,wind_offshore,electrolizer,2030,1,1.0,1.0,17,17,0.0
42,wind_offshore,electrolizer,2030,1,1.0,1.0,18,18,0.0
43,wind_offshore,electrolizer,2030,1,1.0,1.0,19,19,0.0
44,wind_offshore,electrolizer,2030,1,1.0,1.0,20,20,0.0
45,wind_offshore,electrolizer,2030,1,1.0,1.0,21,21,0.0
46,wind_offshore,electrolizer,2030,1,1.0,1.0,22,22,0.0
47,wind_offshore,electrolizer,2030,1,1.0,1.0,23,23,0.0
48,wind_offshore,electrolizer,2030,1,1.0,1.0,24,24,0.0
49,ocgt,e_demand,2030,1,1.0,1.0,1,1,0.0
50,ocgt,e_demand,2030,1,1.0,1.0,2,2,0.0
51,ocgt,e_demand,2030,1,1.0,1.0,3,3,0.0
52,ocgt,e_demand,2030,1,1.0,1.0,4,4,0.0
53,ocgt,e_demand,2030,1,1.0,1.0,5,5,0.0
54,ocgt,e_demand,2030,1,1.0,1.0,6,6,0.0
55,ocgt,e_demand,2030,1,1.0,1.0,7,7,0.0
56,ocgt,e_demand,2030,1,1.0,1.0,8,8,0.0
57,ocgt,e_demand,2030,1,1.0,1.0,9,9,0.0
58,ocgt,e_demand,2030,1,1.0,1.0,10,10,0.0
59,ocgt,e_demand,2030,1,1.0,1.0,11,11,0.0
60,ocgt,e_demand,2030,1,1.0,1.0,12,12,0.0
61,ocgt,e_demand,2030,1,1.0,1.0,13,13,0.0
62,ocgt,e_demand,2030,1,1.0,1.0,14,14,0.0
63,ocgt,e_demand,2030,1,1.0,1.0,15,15,0.0
64,ocgt,e_demand,2030,1,1.0,1.0,16,16,0.0
65,ocgt,e_demand,2030,1,1.0,1.0,17,17,0.0
66,ocgt,e_demand,2030,1,1.0,1.0,18,18,0.0
67,ocgt,e_demand,2030,1,1.0,1.0,19,19,0.0
68,ocgt,e_demand,2030,1,1.0,1.0,20,20,0.0
69,ocgt,e_demand,2030,1,1.0,1.0,21,21,0.0
70,ocgt,e_demand,2030,1,1.0,1.0,22,22,0.0
71,ocgt,e_demand,2030,1,1.0,1.0,23,23,0.0
72,ocgt,e_demand,2030,1,1.0,1.0,24,24,0.0
73,battery,e_demand,2030,1,1.0,1.0,1,1,0.0
74,battery,e_demand,2030,1,1.0,1.0,2,2,0.0
75,battery,e_demand,2030,1,1.0,1.0,3,3,0.0
76,battery,e_demand,2030,1,1.0,1.0,4,4,0.0
77,battery,e_demand,2030,1,1.0,1.0,5,5,0.0
78,battery,e_demand,2030,1,1.0,1.0,6,6,0.0
79,battery,e_demand,2030,1,1.0,1.0,7,7,0.0
80,battery,e_demand,2030,1,1.0,1.0,8,8,0.0
81,battery,e_demand,2030,1,1.0,1.0,9,9,0.0
82,battery,e_demand,2030,1,1.0,1.0,10,10,0.0
83,battery,e_demand,2030,1,1.0,1.0,11,11,0.0
84,battery,e_demand,2030,1,1.0,1.0,12,12,0.0
85,battery,e_demand,2030,1,1.0,1.0,13,13,0.0
86,battery,e_demand,2030,1,1.0,1.0,14,14,0.0
87,battery,e_demand,2030,1,1.0,1.0,15,15,0.0
88,battery,e_demand,2030,1,1.0,1.0,16,16,0.0
89,battery,e_demand,2030,1,1.0,1.0,17,17,0.0
90,battery,e_demand,2030,1,1.0,1.0,18,18,0.0
91,battery,e_demand,2030,1,1.0,1.0,19,19,0.0
92,battery,e_demand,2030,1,1.0,1.0,20,20,0.0
93,battery,e_demand,2030,1,1.0,1.0,21,21,0.0
94,battery,e_demand,2030,1,1.0,1.0,22,22,0.0
95,battery,e_demand,2030,1,1.0,1.0,23,23,0.0
96,battery,e_demand,2030,1,1.0,1.0,24,24,0.0
97,ccgt,e_demand,2030,1,1.0,1.0,1,1,0.29685428379877876
98,ccgt,e_demand,2030,1,1.0,1.0,2,2,0.2669356058169112
99,ccgt,e_demand,2030,1,1.0,1.0,3,3,0.23954285294716193
100,ccgt,e_demand,2030,1,1.0,1.0,4,4,0.23779452235828136
101,ccgt,e_demand,2030,1,1.0,1.0,5,5,0.23897176681136267
102,ccgt,e_demand,2030,1,1.0,1.0,6,6,0.15159782583589543
103,ccgt,e_demand,2030,1,1.0,1.0,7,7,0.22580266013345796
104,ccgt,e_demand,2030,1,1.0,1.0,8,8,0.23950188808359485
105,ccgt,e_demand,2030,1,1.0,1.0,9,9,0.41059305180143535
106,ccgt,e_demand,2030,1,1.0,1.0,10,10,0.42496344419950516
107,ccgt,e_demand,2030,1,1.0,1.0,11,11,0.42808143135777527
108,ccgt,e_demand,2030,1,1.0,1.0,12,12,0.4578411354534011
109,ccgt,e_demand,2030,1,1.0,1.0,13,13,0.42257211602252337
110,ccgt,e_demand,2030,1,1.0,1.0,14,14,0.43503880956929625
111,ccgt,e_demand,2030,1,1.0,1.0,15,15,0.440798539381563
112,ccgt,e_demand,2030,1,1.0,1.0,16,16,0.42146477598056303
113,ccgt,e_demand,2030,1,1.0,1.0,17,17,0.44795634188356226
114,ccgt,e_demand,2030,1,1.0,1.0,18,18,0.4401706914813345
115,ccgt,e_demand,2030,1,1.0,1.0,19,19,0.4160598396868629
116,ccgt,e_demand,2030,1,1.0,1.0,20,20,0.3986598109534153
117,ccgt,e_demand,2030,1,1.0,1.0,21,21,0.3521267225273139
118,ccgt,e_demand,2030,1,1.0,1.0,22,22,0.3006942969100882
119,ccgt,e_demand,2030,1,1.0,1.0,23,23,0.24660638019768155
120,ccgt,e_demand,2030,1,1.0,1.0,24,24,0.3380898447117431
121,e_demand,battery,2030,1,1.0,1.0,1,1,0.0
122,e_demand,battery,2030,1,1.0,1.0,2,2,0.0
123,e_demand,battery,2030,1,1.0,1.0,3,3,0.0
124,e_demand,battery,2030,1,1.0,1.0,4,4,0.0
125,e_demand,battery,2030,1,1.0,1.0,5,5,0.0
126,e_demand,battery,2030,1,1.0,1.0,6,6,0.0
127,e_demand,battery,2030,1,1.0,1.0,7,7,0.0
128,e_demand,battery,2030,1,1.0,1.0,8,8,0.0
129,e_demand,battery,2030,1,1.0,1.0,9,9,0.0
130,e_demand,battery,2030,1,1.0,1.0,10,10,0.0
131,e_demand,battery,2030,1,1.0,1.0,11,11,0.0
132,e_demand,battery,2030,1,1.0,1.0,12,12,0.0
133,e_demand,battery,2030,1,1.0,1.0,13,13,0.0
134,e_demand,battery,2030,1,1.0,1.0,14,14,0.0
135,e_demand,battery,2030,1,1.0,1.0,15,15,0.0
136,e_demand,battery,2030,1,1.0,1.0,16,16,0.0
137,e_demand,battery,2030,1,1.0,1.0,17,17,0.0
138,e_demand,battery,2030,1,1.0,1.0,18,18,0.0
139,e_demand,battery,2030,1,1.0,1.0,19,19,0.0
140,e_demand,battery,2030,1,1.0,1.0,20,20,0.0
141,e_demand,battery,2030,1,1.0,1.0,21,21,0.0
142,e_demand,battery,2030,1,1.0,1.0,22,22,0.0
143,e_demand,battery,2030,1,1.0,1.0,23,23,0.0
144,e_demand,battery,2030,1,1.0,1.0,24,24,0.0
145,wind,e_demand,2030,1,1.0,1.0,1,1,0.8844682253927559
146,wind,e_demand,2030,1,1.0,1.0,2,2,0.8906753963093754
147,wind,e_demand,2030,1,1.0,1.0,3,3,0.8940329355327812
148,wind,e_demand,2030,1,1.0,1.0,4,4,0.8972027602386465
149,wind,e_demand,2030,1,1.0,1.0,5,5,0.8986890579800144
150,wind,e_demand,2030,1,1.0,1.0,6,6,0.9014242836483826
151,wind,e_demand,2030,1,1.0,1.0,7,7,0.9006234351640272
152,wind,e_demand,2030,1,1.0,1.0,8,8,0.9002489552857251
153,wind,e_demand,2030,1,1.0,1.0,9,9,0.901686362192216
154,wind,e_demand,2030,1,1.0,1.0,10,10,0.9016148481083615
