year,timestep,scenario,solar,wind_offshore,wind_onshore,demand
2030,1,1,0.0,0.3576394717534077,0.06787723978481808,0.6656343431529089
2030,2,1,0.0,0.5716192071116069,0.10957919222385315,0.6548395969294627
2030,3,1,0.0,0.7282799285776933,0.1557460586355193,0.6519890980921662
2030,4,1,0.0,0.804983120868802,0.19563454819474763,0.6526820765062458
2030,5,1,0.0,0.8440841575903824,0.23198869012797207,0.6504959796535823
2030,6,1,0.0,0.861079250935789,0.26394024965324087,0.6636840018431798
2030,7,1,0.0,0.8682365241409412,0.303747880713472,0.6761647574039743
2030,8,1,0.0,0.8866577540017434,0.36912373647141467,0.694567977967573
2030,9,1,0.0,0.8907013155965039,0.4315354333717063,0.70367314279999
2030,10,1,0.00415,0.8896973319852809,0.45479949885237503,0.709434865387157
2030,11,1,0.0119675,0.8843212981565954,0.4307746804312624,0.7270522341409748
2030,12,1,0.0198325,0.8804978904326536,0.35282106267823166,0.7421012962982808
2030,13,1,0.025974999999999998,0.8975819866914699,0.3347028679570159,0.7538176323713793
2030,14,1,0.02022,0.906423621962628,0.33650421875421865,0.7508599719236582
2030,15,1,0.011497499999999999,0.90804144423865,0.3639362724073131,0.7505956399512772
2030,16,1,0.005090000000000001,0.9147403263016805,0.4045309900195502,0.7566824194233992
2030,17,1,6.75e-5,0.913805275002573,0.4425159753351619,0.7785112394669067
2030,18,1,0.0,0.9129739341392862,0.4615555250902245,0.8165393229529453
2030,19,1,0.0,0.9098152905317283,0.48241662046561373,0.8259266800261476
2030,20,1,0.0,0.9139966087262753,0.4957448889999646,0.8110990851970523
2030,21,1,0.0,0.9138702072034763,0.494617461336591,0.7840122021353737
2030,22,1,0.0,0.9128414815956211,0.4930414951848793,0.7639051119660226
2030,23,1,0.0,0.9205197171232035,0.495347427011253,0.739115059421113
2030,24,1,0.0,0.920789033777166,0.48983078008855274,0.7155252169129598
2030,25,1,0.0,0.9231882605195199,0.49619590152157816,0.6568292308296809
2030,26,1,0.0,0.9225778665235878,0.48420033303038795,0.6373401059471122
2030,27,1,0.0,0.9237441040742304,0.47235832295636154,0.6217838121671293
2030,28,1,0.0,0.9212440032554655,0.45541639883019513,0.6224089215612733
2030,29,1,0.0,0.9137219969705401,0.4373467952228605,0.6238163107115173
2030,30,1,0.0,0.8936298403644043,0.4156417566661136,0.6455486853056428
2030,31,1,0.0,0.8628065598741612,0.39950648934886546,0.7034088108276092
2030,32,1,0.0,0.7971429980483115,0.3999028275055417,0.6953288254015881
2030,33,1,0.0,0.6641945412105953,0.3839567957273977,0.8199792106475777
2030,34,1,0.0035575,0.5305835299377366,0.32757047596938627,0.8522527156538109
2030,35,1,0.011322500000000001,0.36814493703676415,0.2308115287087775,0.8486342252751374
2030,36,1,0.0201525,0.2558060525523623,0.1441342932844,0.8485056313426279
2030,37,1,0.029455000000000002,0.19216977500998078,0.08884928580728356,0.8296201835321181
2030,38,1,0.0261025,0.1486281379683556,0.05357889426656354,0.835424770763455
2030,39,1,0.017905,0.11027191346310855,0.03473213499406947,0.8465981546770684
2030,40,1,0.0081725,0.0808804727817944,0.019801697077397023,0.8341066829552315
2030,41,1,0.000395,0.060451076339370885,0.014229111898065042,0.8235512643284004
2030,42,1,0.0,0.04635607939130433,0.009833561792061173,0.835485495676029
2030,43,1,0.0,0.03828562534497106,0.005032423165438994,0.8182896292565485
2030,44,1,0.0,0.028072045448144067,0.0032703744900678846,0.7951355772974558
2030,45,1,0.0,0.018488675547886857,0.002437999062817421,0.7645945183264214
2030,46,1,0.0,0.012459997318114393,0.0024513046393688414,0.7208547210047473
2030,47,1,0.0,0.010285958460874288,0.001961285261047976,0.673871498940886
2030,48,1,0.0,0.008353680424916046,0.001667305664057725,0.7549571174955617
2030,49,1,0.0,0.005974891044590056,0.0014301528492753307,0.7179577854696001
2030,50,1,0.0,0.007656279077363602,0.0014086734765363183,0.6986436912173916
2030,51,1,0.0,0.016176034620691046,0.0009578406186531104,0.6803512043178985
2030,52,1,0.0,0.022486114629288446,0.0009932089747981918,0.6743608702951588
2030,53,1,0.0,0.026533737296405475,0.0012421588092721301,0.6803404881568561
2030,54,1,0.0,0.02959198867019825,0.0018411481366365334,0.6623373376055096
2030,55,1,0.0,0.04492982254623414,0.003282359614796169,0.7282881647145394
2030,56,1,0.0,0.06489804033780011,0.004309373555511304,0.7261627927744498
2030,57,1,0.0,0.0887542045090886,0.007153588564563389,0.8624437848051981
2030,58,1,0.00491,0.11390571645609077,0.011201523440478756,0.8878589467442517
2030,59,1,0.01472,0.13747958467403587,0.012088953781642273,0.8861443609774569
2030,60,1,0.023960000000000002,0.1486193575661484,0.011295345031525432,0.884851277544999
2030,61,1,0.03491,0.17086864901748372,0.012666989333327747,0.8609328060982101
2030,62,1,0.0312225,0.21068121757803393,0.01556675617701389,0.87526031341199
2030,63,1,0.022320000000000003,0.25364789040471114,0.021148856964876627,0.8721704869780783
