id,asset,milestone_year,rep_period,time_block_start,time_block_end,solution,dual_balance_storage_rep_period,dual_max_storage_level_rep_period_limit,dual_min_storage_level_rep_period_limit
1,battery,2030,1,1,1,,-0.06543328746003506,0.0,0.0
2,battery,2030,1,2,2,,-0.05905354193268168,0.0,0.0
3,battery,2030,1,3,3,,-0.05905354193268168,0.0,0.0
4,battery,2030,1,4,4,,-0.05905354193268168,0.0,0.0
5,battery,2030,1,5,5,,-0.05905354193268168,0.0,0.0
6,battery,2030,1,6,6,,-0.05905354193268168,0.0,0.0
7,battery,2030,1,7,7,,-0.05905354193268168,0.0,0.0
8,battery,2030,1,8,8,,-0.05905354193268168,0.0,0.0
9,battery,2030,1,9,9,,-0.05905354193268168,0.0,0.0
10,battery,2030,1,10,10,,-0.05905354193268168,0.0,0.0
11,battery,2030,1,11,11,,-0.05905354193268168,0.0,0.0
12,battery,2030,1,12,12,,-0.05905354193268168,0.0,0.0
13,battery,2030,1,13,13,,-0.05905354193268168,0.0,0.0
14,battery,2030,1,14,14,,-0.05905354193268168,0.0,0.0
15,battery,2030,1,15,15,,-0.05905354193268168,0.0,0.0
16,battery,2030,1,16,16,,-0.05905354193268168,0.0,0.0
17,battery,2030,1,17,17,,-0.05905354193268168,0.0,0.0
18,battery,2030,1,18,18,,-0.05905354193268168,0.0,0.0
19,battery,2030,1,19,19,,-0.05905354193268168,0.0,0.0
20,battery,2030,1,20,20,,-0.05905354193268168,0.0,0.0
21,battery,2030,1,21,21,,-0.05905354193268168,0.0,0.0
22,battery,2030,1,22,22,,-0.05905354193268168,0.0,0.0
23,battery,2030,1,23,23,,-0.05905354193268165,0.0,0.0
24,battery,2030,1,24,24,,-0.05905354193268168,0.0,0.0
25,battery,2030,2,1,1,,-0.09037141292808283,0.0,0.0
26,battery,2030,2,2,2,,-0.08156020016759477,0.0,0.0
27,battery,2030,2,3,3,,-0.08156020016759477,0.0,0.0
28,battery,2030,2,4,4,,-0.08156020016759477,0.0,0.0
29,battery,2030,2,5,5,,-0.08156020016759477,0.0,0.0
30,battery,2030,2,6,6,,-0.08156020016759477,0.0,0.0
31,battery,2030,2,7,7,,-0.08156020016759477,0.0,0.0
32,battery,2030,2,8,8,,-0.08156020016759477,0.0,0.0
33,battery,2030,2,9,9,,-0.08156020016759477,0.0,0.0
34,battery,2030,2,10,10,,-0.08156020016759477,0.0,0.0
35,battery,2030,2,11,11,,-0.08156020016759477,0.0,0.0
36,battery,2030,2,12,12,,-0.08156020016759477,0.0,0.0
37,battery,2030,2,13,13,,-0.08156020016759477,0.0,0.0
38,battery,2030,2,14,14,,-0.08156020016759477,0.0,0.0
39,battery,2030,2,15,15,,-0.08156020016759477,0.0,0.0
40,battery,2030,2,16,16,,-0.08156020016759477,0.0,0.0
41,battery,2030,2,17,17,,-0.08156020016759477,0.0,0.0
42,battery,2030,2,18,18,,-0.08156020016759477,0.0,0.0
43,battery,2030,2,19,19,,-0.08156020016759477,0.0,0.0
44,battery,2030,2,20,20,,-0.08156020016759477,0.0,0.0
45,battery,2030,2,21,21,,-0.08156020016759477,0.0,0.0
46,battery,2030,2,22,22,,-0.08156020016759477,0.0,0.0
47,battery,2030,2,23,23,,-0.08156020016759477,0.0,0.0
48,battery,2030,2,24,24,,-0.08156020016759477,0.0,0.0
49,battery,2030,3,1,1,,-0.09189876921890143,0.0,0.0
50,battery,2030,3,2,2,,-0.08293863922005855,0.0,0.0
51,battery,2030,3,3,3,,-0.08293863922005855,0.0,0.0
52,battery,2030,3,4,4,,-0.08293863922005855,0.0,0.0
53,battery,2030,3,5,5,,-0.08293863922005855,0.0,0.0
54,battery,2030,3,6,6,,-0.08293863922005855,0.0,0.0
55,battery,2030,3,7,7,,-0.08293863922005855,0.0,0.0
56,battery,2030,3,8,8,,-0.08293863922005855,0.0,0.0
57,battery,2030,3,9,9,,-0.08293863922005855,0.0,0.0
58,battery,2030,3,10,10,,-0.08293863922005855,0.0,0.0
59,battery,2030,3,11,11,,-0.08293863922005855,0.0,0.0
60,battery,2030,3,12,12,,-0.08293863922005855,0.0,0.0
61,battery,2030,3,13,13,,-0.08293863922005855,0.0,0.0
62,battery,2030,3,14,14,,-0.08293863922005855,0.0,0.0
63,battery,2030,3,15,15,,-0.08293863922005855,0.0,0.0
64,battery,2030,3,16,16,,-0.08293863922005855,0.0,0.0
65,battery,2030,3,17,17,,-0.08293863922005855,0.0,0.0
66,battery,2030,3,18,18,,-0.08293863922005855,0.0,0.0
67,battery,2030,3,19,19,,-0.08293863922005855,0.0,0.0
68,battery,2030,3,20,20,,-0.08293863922005855,0.0,0.0
69,battery,2030,3,21,21,,-0.08293863922005855,0.0,0.0
70,battery,2030,3,22,22,,-0.08293863922005855,0.0,0.0
71,battery,2030,3,23,23,,-0.08293863922005855,0.0,0.0
72,battery,2030,3,24,24,,-0.08293863922005855,0.0,0.0
73,battery,2030,4,1,1,,-0.024774128536804236,0.0,0.0
74,battery,2030,4,2,2,,-0.02235865100446583,0.0,0.0
75,battery,2030,4,3,3,,-0.02235865100446583,0.0,0.0
76,battery,2030,4,4,4,,-0.02235865100446583,0.0,0.0
77,battery,2030,4,5,5,,-0.02235865100446583,0.0,0.0
78,battery,2030,4,6,6,,-0.02235865100446583,0.0,0.0
79,battery,2030,4,7,7,,-0.02235865100446583,0.0,0.0
80,battery,2030,4,8,8,,-0.02235865100446583,0.0,0.0
81,battery,2030,4,9,9,,-0.02235865100446583,0.0,0.0
82,battery,2030,4,10,10,,-0.02235865100446583,0.0,0.0
83,battery,2030,4,11,11,,-0.02235865100446583,0.0,0.0
84,battery,2030,4,12,12,,-0.02235865100446583,0.0,0.0
85,battery,2030,4,13,13,,-0.02235865100446583,0.0,0.0
86,battery,2030,4,14,14,,-0.02235865100446583,0.0,0.0
87,battery,2030,4,15,15,,-0.02235865100446583,0.0,0.0
88,battery,2030,4,16,16,,-0.02235865100446583,0.0,0.0
89,battery,2030,4,17,17,,-0.02235865100446583,0.0,0.0
90,battery,2030,4,18,18,,-0.02235865100446583,0.0,0.0
91,battery,2030,4,19,19,,-0.02235865100446583,0.0,0.0
92,battery,2030,4,20,20,,-0.02235865100446583,0.0,0.0
93,battery,2030,4,21,21,,-0.02235865100446583,0.0,0.0
94,battery,2030,4,22,22,,-0.02235865100446583,0.0,0.0
95,battery,2030,4,23,23,,-0.02235865100446583,0.0,0.0
96,battery,2030,4,24,24,,0.0,0.0,0.0
97,battery,2030,5,1,1,,-0.05684435309159868,0.0,0.0
98,battery,2030,5,2,2,,-0.051302028665167816,0.0,0.0
99,battery,2030,5,3,3,,-0.051302028665167816,0.0,0.0
100,battery,2030,5,4,4,,-0.051302028665167816,0.0,0.0
101,battery,2030,5,5,5,,-0.051302028665167816,0.0,0.0
102,battery,2030,5,6,6,,-0.05130202866516782,0.0,0.0
103,battery,2030,5,7,7,,-0.05130202866516782,0.0,0.0
104,battery,2030,5,8,8,,-0.05130202866516782,0.0,0.0
105,battery,2030,5,9,9,,-0.051302028665167816,0.0,0.0
106,battery,2030,5,10,10,,-0.051302028665167816,0.0,0.0
107,battery,2030,5,11,11,,-0.051302028665167816,0.0,0.0
108,battery,2030,5,12,12,,-0.051302028665167816,0.0,0.0
109,battery,2030,5,13,13,,-0.051302028665167816,0.0,0.0
110,battery,2030,5,14,14,,-0.051302028665167816,0.0,0.0
111,battery,2030,5,15,15,,-0.051302028665167816,0.0,0.0
112,battery,2030,5,16,16,,-0.05130202866516782,0.0,0.0
113,battery,2030,5,17,17,,-0.05130202866516782,0.0,0.0
114,battery,2030,5,18,18,,-0.051302028665167816,0.0,0.0
115,battery,2030,5,19,19,,-0.051302028665167816,0.0,0.0
116,battery,2030,5,20,20,,-0.051302028665167816,0.0,0.0
117,battery,2030,5,21,21,,-0.051302028665167816,0.0,0.0
118,battery,2030,5,22,22,,-0.05130202866516782,0.0,0.0
119,battery,2030,5,23,23,,-0.05130202866516782,0.0,0.0
120,battery,2030,5,24,24,,-0.051302028665167816,0.0,0.0
121,battery,2030,6,1,1,,-0.004258718003032814,0.0,0.0
122,battery,2030,6,2,2,,-0.004258718003032814,0.0,0.0
123,battery,2030,6,3,3,,-0.0042587180030328135,0.0,0.0
124,battery,2030,6,4,4,,-0.0038434929977371143,0.0,0.0
125,battery,2030,6,5,5,,-0.0038434929977371143,0.0,0.0
126,battery,2030,6,6,6,,-0.0038434929977371143,0.0,0.0
127,battery,2030,6,7,7,,-0.0038434929977371143,0.0,0.0
128,battery,2030,6,8,8,,-0.0038434929977371143,0.0,0.0
129,battery,2030,6,9,9,,-0.0038434929977371143,-0.0004152250052956992,0.0
130,battery,2030,6,10,10,,-0.0042587180030328135,0.0,0.0
131,battery,2030,6,11,11,,-0.0042587180030328135,0.0,0.0
132,battery,2030,6,12,12,,-0.0042587180030328135,0.0,0.0
133,battery,2030,6,13,13,,-0.0042587180030328135,0.0,0.0
134,battery,2030,6,14,14,,-0.004258718003032814,0.0,0.0
135,battery,2030,6,15,15,,-0.0042587180030328135,0.0,0.0
136,battery,2030,6,16,16,,-0.0042587180030328135,0.0,0.0
137,battery,2030,6,17,17,,-0.0038434929977371143,0.0,0.0
138,battery,2030,6,18,18,,-0.003843492997737115,0.0,0.0
139,battery,2030,6,19,19,,-0.0038434929977371143,0.0,0.0
140,battery,2030,6,20,20,,-0.0038434929977371143,0.0,0.0
141,battery,2030,6,21,21,,-0.0038434929977371143,0.0,0.0
142,battery,2030,6,22,22,,-0.003843492997737115,0.0,0.0
143,battery,2030,6,23,23,,-0.003843492997737115,0.0,0.0
144,battery,2030,6,24,24,,0.0,0.0,0.0
145,battery,2030,7,1,1,,-0.023002514901329544,0.0,0.0
146,battery,2030,7,2,2,,-0.020759769698449917,0.0,0.0
147,battery,2030,7,3,3,,-0.020759769698449917,0.0,0.0
148,battery,2030,7,4,4,,-0.020759769698449917,0.0,0.0
149,battery,2030,7,5,5,,-0.020759769698449917,0.0,0.0
150,battery,2030,7,6,6,,-0.020759769698449917,0.0,0.0
151,battery,2030,7,7,7,,-0.020759769698449917,0.0,0.0
152,battery,2030,7,8,8,,-0.020759769698449917,0.0,0.0
153,battery,2030,7,9,9,,-0.020759769698449917,0.0,0.0
154,battery,2030,7,10,10,,-0.020759769698449917,0.0,0.0
155,battery,2030,7,11,11,,-0.020759769698449917,0.0,0.0
156,battery,2030,7,12,12,,-0.020759769698449917,0.0,0.0
157,battery,2030,7,13,13,,-0.020759769698449917,0.0,0.0
158,battery,2030,7,14,14,,-0.020759769698449917,0.0,0.0
